Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,2024-01-15 20:43:07,2024-01-15 20:43:07,Exchanged to EUR,63.79,0.00,EUR,COMPLETED,63.79
TOPUP,Current,2024-01-15 20:45:35,2024-01-15 20:45:42,Top-Up by *9545,10.00,0.00,EUR,COMPLETED,73.79
TRANSFER,Current,2024-01-15 20:50:46,2024-01-15 20:50:47,To Ronald Beltrán,-73.79,0.00,EUR,COMPLETED,0.00
TOPUP,Current,2024-01-17 14:31:21,2024-01-17 14:31:24,Top-Up by *5683,40.00,0.00,EUR,COMPLETED,40.00
TRANSFER,Current,2024-01-17 14:31:41,2024-01-17 14:31:43,To Ronald Beltrán,-20.00,0.00,EUR,COMPLETED,20.00
TRANSFER,Current,2024-01-17 14:33:01,2024-01-17 14:33:02,To Ronald Beltrán,-20.00,0.00,EUR,COMPLETED,0.00
TOPUP,Current,2024-01-23 17:24:10,2024-01-23 17:24:15,Top-Up by *5683,20.00,0.00,EUR,COMPLETED,20.00
CARD_PAYMENT,Current,2024-01-23 17:53:42,2024-01-24 13:50:20,Mercadona,-19.45,0.00,EUR,COMPLETED,0.55
TOPUP,Current,2024-01-24 16:49:41,2024-01-24 16:49:44,Top-Up by *5683,40.00,0.00,EUR,COMPLETED,40.55
TRANSFER,Current,2024-01-24 16:51:23,2024-01-24 16:51:24,To Ronald Beltrán,-40.00,0.00,EUR,COMPLETED,0.55
TOPUP,Current,2024-01-28 16:55:05,2024-01-28 16:55:48,Card Top-Up,20.00,0.00,EUR,COMPLETED,20.55
EXCHANGE,Current,2024-01-29 18:20:08,2024-01-29 18:20:08,Exchanged to EUR,2.99,1.49,EUR,COMPLETED,22.05
CARD_PAYMENT,Current,2024-01-30 18:06:38,2024-01-31 10:32:12,Mercadona,-13.95,0.00,EUR,COMPLETED,8.10
TOPUP,Current,2024-02-01 07:48:17,2024-02-01 07:48:18,Payment from Paypal Europe S.a.r.l. Et Cie S.c.a,0.01,0.00,EUR,COMPLETED,8.11
TOPUP,Current,2024-02-02 23:15:48,2024-02-02 23:15:49,Payment from Paypal,10.45,0.00,EUR,COMPLETED,18.56
TRANSFER,Current,2024-02-02 23:31:09,2024-02-02 23:31:11,To Ronald Beltrán,-18.56,0.00,EUR,COMPLETED,0.00
EXCHANGE,Current,2024-02-02 23:48:17,2024-02-02 23:48:17,Exchanged to EUR,0.49,0.00,EUR,COMPLETED,0.49
TOPUP,Current,2024-02-05 17:10:09,2024-02-05 17:10:16,Top-Up by *8011,10.00,0.00,EUR,COMPLETED,10.49
CARD_PAYMENT,Current,2024-02-05 20:34:29,2024-02-06 17:10:55,Nickel Spain Ecom,-10.20,0.00,EUR,COMPLETED,0.29
